,prediction,Truelabel
0,2.0,2.0
1,2.0,2.0
2,3.0,3.0
3,2.0,2.0
4,8.0,8.0
5,3.0,3.0
6,2.0,2.0
7,2.0,2.0
8,5.0,5.0
9,7.0,7.0
10,0.0,0.0
11,4.0,4.0
12,2.0,2.0
13,6.0,6.0
14,9.0,9.0
15,9.0,9.0
16,0.0,0.0
17,9.0,9.0
18,0.0,0.0
19,6.0,6.0
20,0.0,0.0
21,1.0,1.0
22,7.0,7.0
23,6.0,6.0
24,1.0,1.0
25,2.0,2.0
26,7.0,7.0
27,5.0,5.0
28,0.0,0.0
29,2.0,2.0
30,7.0,7.0
31,1.0,1.0
32,3.0,3.0
33,1.0,1.0
34,9.0,9.0
35,2.0,2.0
36,7.0,7.0
37,0.0,0.0
38,4.0,4.0
39,9.0,9.0
40,4.0,4.0
41,3.0,3.0
42,0.0,0.0
43,5.0,5.0
44,3.0,3.0
45,4.0,4.0
46,6.0,6.0
47,8.0,8.0
48,6.0,6.0
49,3.0,3.0
50,2.0,2.0
51,4.0,4.0
52,9.0,9.0
53,4.0,4.0
54,3.0,3.0
55,6.0,6.0
56,6.0,6.0
57,8.0,8.0
58,7.0,7.0
59,5.0,5.0
60,8.0,8.0
61,7.0,7.0
62,4.0,4.0
63,7.0,7.0
64,9.0,9.0
65,9.0,9.0
66,3.0,3.0
67,1.0,1.0
68,7.0,7.0
69,6.0,8.0
70,3.0,3.0
71,2.0,2.0
72,0.0,0.0
73,2.0,2.0
74,5.0,5.0
75,1.0,1.0
76,5.0,5.0
77,8.0,8.0
78,2.0,2.0
79,0.0,0.0
80,5.0,5.0
81,9.0,9.0
82,9.0,9.0
83,5.0,5.0
84,9.0,9.0
85,4.0,4.0
86,4.0,4.0
87,5.0,5.0
88,7.0,7.0
89,8.0,8.0
90,5.0,5.0
91,4.0,4.0
92,6.0,6.0
93,9.0,9.0
94,9.0,9.0
95,4.0,4.0
96,9.0,9.0
97,1.0,1.0
98,6.0,6.0
99,9.0,9.0
100,5.0,5.0
101,9.0,9.0
102,0.0,0.0
103,0.0,0.0
104,4.0,4.0
105,3.0,3.0
106,3.0,3.0
107,6.0,6.0
108,9.0,9.0
109,3.0,3.0
110,3.0,3.0
111,1.0,1.0
112,4.0,4.0
113,0.0,0.0
114,1.0,1.0
115,1.0,1.0
116,5.0,5.0
117,5.0,5.0
118,6.0,6.0
119,6.0,6.0
120,7.0,7.0
121,0.0,0.0
122,0.0,0.0
123,2.0,2.0
124,2.0,2.0
125,5.0,5.0
126,6.0,6.0
127,7.0,7.0
128,1.0,1.0
129,0.0,0.0
130,0.0,0.0
131,5.0,5.0
132,7.0,7.0
133,8.0,8.0
134,7.0,7.0
135,7.0,7.0
136,2.0,2.0
137,4.0,4.0
138,7.0,7.0
139,1.0,1.0
